47734951	Jira	<http://www.wikidata.org/entity/Q1359246>
47734951	Jira	<http://www.wikidata.org/entity/Q1359246>
47734951	Jira	<http://www.wikidata.org/entity/Q1359246>
47734951	JIRA	<http://www.wikidata.org/entity/Q1359246>
47834233	Program Manager	<http://www.wikidata.org/entity/Q1369902>
47834233	Program Manager	<http://www.wikidata.org/entity/Q1369902>
47834233	Program Manager	<http://www.wikidata.org/entity/Q1369902>
47871780	Internet Explorer 11	<http://www.wikidata.org/entity/Q13733263>
47871780	Internet Explorer 11	<http://www.wikidata.org/entity/Q13733263>
47871780	Internet Explorer 11	<http://www.wikidata.org/entity/Q13733263>
47871780	IE 11	<http://www.wikidata.org/entity/Q13733263>
47920541	RenderWare	<http://www.wikidata.org/entity/Q1377750>
47920541	RenderWare	<http://www.wikidata.org/entity/Q1377750>
47920541	RenderWare	<http://www.wikidata.org/entity/Q1377750>
48019831	FBReader	<http://www.wikidata.org/entity/Q1386743>
48019831	FBReader	<http://www.wikidata.org/entity/Q1386743>
48019831	FBReader	<http://www.wikidata.org/entity/Q1386743>
48038253	Strava	<http://www.wikidata.org/entity/Q13884156>
48038253	Strava	<http://www.wikidata.org/entity/Q13884156>
48038253	Strava	<http://www.wikidata.org/entity/Q13884156>
48140115	FastTracker 2	<http://www.wikidata.org/entity/Q1397639>
48140115	FastTracker 2	<http://www.wikidata.org/entity/Q1397639>
48140115	FastTracker 2	<http://www.wikidata.org/entity/Q1397639>
48243267	Microsoft Windows	<http://www.wikidata.org/entity/Q1406>
48243267	Microsoft Windows	<http://www.wikidata.org/entity/Q1406>
48243267	Microsoft Windows	<http://www.wikidata.org/entity/Q1406>
48243267	Win	<http://www.wikidata.org/entity/Q1406>
48294936	macOS	<http://www.wikidata.org/entity/Q14116>
48294936	macOS	<http://www.wikidata.org/entity/Q14116>
48294936	macOS	<http://www.wikidata.org/entity/Q14116>
48294936	OSX	<http://www.wikidata.org/entity/Q14116>
48294936	macOS	<http://www.wikidata.org/entity/Q14116>
48296956	MacPaint	<http://www.wikidata.org/entity/Q1411882>
48296956	MacPaint	<http://www.wikidata.org/entity/Q1411882>
48296956	MacPaint	<http://www.wikidata.org/entity/Q1411882>
48351491	Skype for Business	<http://www.wikidata.org/entity/Q1416838>
48351491	Skype for Business	<http://www.wikidata.org/entity/Q1416838>
48351491	Skype for Business	<http://www.wikidata.org/entity/Q1416838>
48351491	Skype Empresarial	<http://www.wikidata.org/entity/Q1416838>
48496791	MacWrite	<http://www.wikidata.org/entity/Q1430257>
48496791	MacWrite	<http://www.wikidata.org/entity/Q1430257>
48496791	MacWrite	<http://www.wikidata.org/entity/Q1430257>
48513011	Volkov Commander	<http://www.wikidata.org/entity/Q1431723>
48513011	Volkov Commander	<http://www.wikidata.org/entity/Q1431723>
48513011	Volkov Commander	<http://www.wikidata.org/entity/Q1431723>
48939001	Kerbal Space Program	<http://www.wikidata.org/entity/Q1471545>
48939001	Kerbal Space Program	<http://www.wikidata.org/entity/Q1471545>
48939001	Kerbal Space Program	<http://www.wikidata.org/entity/Q1471545>
48939001	KSP	<http://www.wikidata.org/entity/Q1471545>
49736287	86-DOS	<http://www.wikidata.org/entity/Q1550345>
49736287	86-DOS	<http://www.wikidata.org/entity/Q1550345>
49736287	86-DOS	<http://www.wikidata.org/entity/Q1550345>
49736287	QDOS	<http://www.wikidata.org/entity/Q1550345>
49864271	HAFAS	<http://www.wikidata.org/entity/Q1562706>
49864271	HAFAS	<http://www.wikidata.org/entity/Q1562706>
49864271	HAFAS	<http://www.wikidata.org/entity/Q1562706>
49864271	HaCon Fahrplan-Auskunfts-System	<http://www.wikidata.org/entity/Q1562706>
49999314	Internet Explorer	<http://www.wikidata.org/entity/Q1575>
49999314	Internet Explorer	<http://www.wikidata.org/entity/Q1575>
49999314	Internet Explorer	<http://www.wikidata.org/entity/Q1575>
49999314	MSIE	<http://www.wikidata.org/entity/Q1575>
50028053	Boxcryptor	<http://www.wikidata.org/entity/Q15789574>
50028053	Boxcryptor	<http://www.wikidata.org/entity/Q15789574>
50028053	Boxcryptor	<http://www.wikidata.org/entity/Q15789574>
50493955	Nexuiz	<http://www.wikidata.org/entity/Q16258976>
50493955	Nexuiz	<http://www.wikidata.org/entity/Q16258976>
50493955	Nexuiz	<http://www.wikidata.org/entity/Q16258976>
50518265	Neo4j	<http://www.wikidata.org/entity/Q1628290>
50518265	Neo4j	<http://www.wikidata.org/entity/Q1628290>
50518265	Neo4j	<http://www.wikidata.org/entity/Q1628290>
50759667	iCalamus	<http://www.wikidata.org/entity/Q1653352>
50759667	iCalamus	<http://www.wikidata.org/entity/Q1653352>
50759667	iCalamus	<http://www.wikidata.org/entity/Q1653352>
50838481	WinImp	<http://www.wikidata.org/entity/Q16623311>
50838481	WinImp	<http://www.wikidata.org/entity/Q16623311>
50838481	WinImp	<http://www.wikidata.org/entity/Q16623311>
50927961	Intrexx	<http://www.wikidata.org/entity/Q1671587>
50927961	Intrexx	<http://www.wikidata.org/entity/Q1671587>
50927961	Intrexx	<http://www.wikidata.org/entity/Q1671587>
51012031	PC Keeper	<http://www.wikidata.org/entity/Q16801158>
51012031	PC Keeper	<http://www.wikidata.org/entity/Q16801158>
51012031	PC Keeper	<http://www.wikidata.org/entity/Q16801158>
51293394	TokuMX	<http://www.wikidata.org/entity/Q17087084>
51293394	TokuMX	<http://www.wikidata.org/entity/Q17087084>
51293394	TokuMX	<http://www.wikidata.org/entity/Q17087084>
51553156	Perfect Dark	<http://www.wikidata.org/entity/Q1734019>
51553156	Perfect Dark	<http://www.wikidata.org/entity/Q1734019>
51553156	Perfect Dark	<http://www.wikidata.org/entity/Q1734019>
51783797	Roxio Creator	<http://www.wikidata.org/entity/Q1757811>
51783797	Roxio Creator	<http://www.wikidata.org/entity/Q1757811>
51783797	Roxio Creator	<http://www.wikidata.org/entity/Q1757811>
52296517	PrivatOS	<http://www.wikidata.org/entity/Q18155010>
52296517	PrivatOS	<http://www.wikidata.org/entity/Q18155010>
52296517	PrivatOS	<http://www.wikidata.org/entity/Q18155010>
52296517	Silent OS	<http://www.wikidata.org/entity/Q18155010>
52298241	VGA-Copy	<http://www.wikidata.org/entity/Q18156805>
52298241	VGA-Copy	<http://www.wikidata.org/entity/Q18156805>
52298241	VGA-Copy	<http://www.wikidata.org/entity/Q18156805>
52308511	Windows 10	<http://www.wikidata.org/entity/Q18168774>
52308511	Windows 10	<http://www.wikidata.org/entity/Q18168774>
52308511	Windows 10	<http://www.wikidata.org/entity/Q18168774>
52308511	Win10	<http://www.wikidata.org/entity/Q18168774>
52308511	Redstone	<http://www.wikidata.org/entity/Q18168774>
52355372	Archipad	<http://www.wikidata.org/entity/Q18214624>
